package,failed_stage,main_category,sub_category,diagnosis,fix_type,apt_packages,command,confidence,notes
libxfce4ui,configure,依赖缺失,pkg-config、CMake 或 Meson 依赖未找到,缺少gtk+-3.0开发包,apt_install,libgtk-3-dev,sudo apt install -y libgtk-3-dev,high,
lsof,test,测试阶段失败,单元测试或集成测试失败,测试用例case-20-mmap.bash失败,skip,,,low,测试失败可能是环境或源码问题，建议忽略或手动排查
libgee-0.8,prepare,依赖缺失,文档或手册生成工具缺失,缺少gobject-introspection工具,apt_install,gobject-introspection;libgirepository1.0-dev,sudo apt install -y gobject-introspection libgirepository1.0-dev,high,HAVE_INTROSPECTION未定义，需安装gobject-introspection
qtsvg-opensource-src,configure,依赖缺失,pkg-config、CMake 或 Meson 依赖未找到,缺少Qt6开发包,apt_install,qt6-base-dev,sudo apt install -y qt6-base-dev,high,安装Qt6基础开发包即可
accountsservice,configure,构建系统问题,CMake 或 Meson 配置失败,Meson版本过低，需≥0.63.0,apt_install,meson,sudo apt install -y meson,high,升级meson到最新版本即可
sane-backends,prepare,依赖缺失,pkg-config、CMake 或 Meson 依赖未找到,缺少autoconf-archive宏包,apt_install,autoconf-archive,sudo apt install -y autoconf-archive,high,安装autoconf-archive提供AC_HEADER_STDC等宏
libcdio,prepare,构建系统问题,Autotools 宏或辅助脚本缺失,缺少libcdio开发库,apt_install,libcdio-dev,sudo apt install -y libcdio-dev,high,安装libcdio开发包即可满足依赖
bluez,configure,依赖缺失,pkg-config、CMake 或 Meson 依赖未找到,缺少libical和cups开发包,apt_install,libical-dev;libcups2-dev,sudo apt install -y libical-dev libcups2-dev,high,同时安装libical和cups的pkg-config依赖
evolution-data-server,configure,依赖缺失,pkg-config、CMake 或 Meson 依赖未找到,缺少gettext工具,apt_install,gettext,sudo apt install -y gettext,high,安装gettext提供msgmerge和msgfmt
libgphoto2,configure,构建系统问题,CMake 或 Meson 配置失败,Meson版本过低，需>=1.4.0,apt_install,meson,sudo apt install -y meson,high,升级meson到最新版即可
geocode-glib,configure,依赖缺失,pkg-config、CMake 或 Meson 依赖未找到,缺少libsoup-2.4开发包,apt_install,libsoup2.4-dev,sudo apt install -y libsoup2.4-dev,high,
libgweather4,configure,构建系统问题,CMake 或 Meson 配置失败,Meson版本过低，需>=1.5,apt_install,meson,sudo apt install -y meson,high,升级meson到1.5以上版本
efivar,build,源码编译错误,源码语法、接口或兼容性错误,asprintf返回值未检查导致编译错误,manual_fix,,sed -i 's/-Werror/-Wno-error=unused-result/g' Makefile && make,high,移除-Werror或将asprintf返回值检查降级为警告
